"OL_depth$SITE","OL_depth$TREATMENT","OL_depth$SITE.CODE","AV"
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"25_3",2.6
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
"STEESE",3,"35_3",1.8
