"SITECODE","TYPE","SPP","COUNT","BASAL","SITE","DIVISON"
"7_3","TREE","SALIX",3,0.61242966,"DALTON","d"
"8_2","SAPLING","ALCR",5,9.5259564,"DALTON","d"
"8_2","SAPLING","BENE",5,1.58967738,"DALTON","d"
"8_2","SAPLING","PIME",1,0.01068984,"DALTON","c"
"8_2","SAPLING","POTR",0,0,"DALTON","d"
"8_2","SAPLING","SALIX",22,11.82558096,"DALTON","d"
"8_2","TREE","ALCR",4,9.53261028,"DALTON","d"
"8_2","TREE","BENE",7,2.07181098,"DALTON","d"
"8_2","TREE","PIME",0,0,"DALTON","c"
"8_2","TREE","POTR",0,0,"DALTON","d"
"8_2","TREE","SALIX",11,11.72506374,"DALTON","d"
